symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,US,SPY,XLC
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,US,SPY,XLC
GPC,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,US,SPY,XLY
GPN,GPN,Global Payments,Financials,Transaction & Payment Processing Services,US,SPY,XLF
GRMN,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,US,SPY,XLY
GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,US,SPY,XLF
GWW,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
HAL,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,US,SPY,XLE
HAS,HAS,Hasbro,Consumer Discretionary,Leisure Products,US,SPY,XLY
HBAN,HBAN,Huntington Bancshares,Financials,Regional Banks,US,SPY,XLF
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities,US,SPY,XLV
HD,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,US,SPY,XLY
HIG,HIG,Hartford (The),Financials,Property & Casualty Insurance,US,SPY,XLF
HII,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,US,SPY,XLI
HLT,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
HOLX,HOLX,Hologic,Health Care,Health Care Equipment,US,SPY,XLV
HON,HON,Honeywell,Industrials,Industrial Conglomerates,US,SPY,XLI
HOOD,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,US,SPY,XLF
HPE,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
HPQ,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
HRL,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
HSIC,HSIC,Henry Schein,Health Care,Health Care Distributors,US,SPY,XLV
HST,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,US,SPY,XLRE
HSY,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
HUBB,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
HUM,HUM,Humana,Health Care,Managed Health Care,US,SPY,XLV
HWM,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,US,SPY,XLI
IBKR,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,US,SPY,XLF
IBM,IBM,IBM,Information Technology,IT Consulting & Other Services,US,SPY,XLK
ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,US,SPY,XLF
IDXX,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,US,SPY,XLV
IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
IFF,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,US,SPY,XLB
INCY,INCY,Incyte,Health Care,Biotechnology,US,SPY,XLV
INTC,INTC,Intel,Information Technology,Semiconductors,US,SPY,XLK
INTU,INTU,Intuit,Information Technology,Application Software,US,SPY,XLK
INVH,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,US,SPY,XLRE
IP,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,US,SPY,XLB
IQV,IQV,IQVIA,Health Care,Life Sciences Tools & Services,US,SPY,XLV
IR,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
IRM,IRM,Iron Mountain,Real Estate,Other Specialized REITs,US,SPY,XLRE
ISRG,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,US,SPY,XLV
IT,IT,Gartner,Information Technology,IT Consulting & Other Services,US,SPY,XLK
ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
IVZ,IVZ,Invesco,Financials,Asset Management & Custody Banks,US,SPY,XLF
J,J,Jacobs Solutions,Industrials,Construction & Engineering,US,SPY,XLI
JBHT,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,US,SPY,XLI
JBL,JBL,Jabil,Information Technology,Electronic Manufacturing Services,US,SPY,XLK
JCI,JCI,Johnson Controls,Industrials,Building Products,US,SPY,XLI
JKHY,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,US,SPY,XLF
JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,US,SPY,XLV
JPM,JPM,JPMorgan Chase,Financials,Diversified Banks,US,SPY,XLF
KDP,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,SPY,XLP
KEY,KEY,KeyCorp,Financials,Regional Banks,US,SPY,XLF
KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,US,SPY,XLK
KHC,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
KIM,KIM,Kimco Realty,Real Estate,Retail REITs,US,SPY,XLRE
KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks,US,SPY,XLF
KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,US,SPY,XLK
KMB,KMB,Kimberly-Clark,Consumer Staples,Household Products,US,SPY,XLP
KMI,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,US,SPY,XLE
KO,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,SPY,XLP
KR,KR,Kroger,Consumer Staples,Food Retail,US,SPY,XLP
