symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
WELL,WELL,Welltower,Real Estate,Health Care REITs,US,SPY,XLRE
WFC,WFC,Wells Fargo,Financials,Diversified Banks,US,SPY,XLF
WM,WM,Waste Management,Industrials,Environmental & Facilities Services,US,SPY,XLI
WMB,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,US,SPY,XLE
WMT,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,US,SPY,XLP
WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,US,SPY,XLF
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,US,SPY,XLY
WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,US,SPY,XLV
WTW,WTW,Willis Towers Watson,Financials,Insurance Brokers,US,SPY,XLF
WY,WY,Weyerhaeuser,Real Estate,Timber REITs,US,SPY,XLRE
WYNN,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,US,SPY,XLY
XEL,XEL,Xcel Energy,Utilities,Multi-Utilities,US,SPY,XLU
XOM,XOM,ExxonMobil,Energy,Integrated Oil & Gas,US,SPY,XLE
XYL,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
XYZ,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,US,SPY,XLF
YUM,YUM,Yum! Brands,Consumer Discretionary,Restaurants,US,SPY,XLY
ZBH,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,US,SPY,XLV
ZBRA,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,US,SPY,XLK
ZTS,ZTS,Zoetis,Health Care,Pharmaceuticals,US,SPY,XLV
